item_id,stratum,attack_type,pokemon_id,pokemon,def_type1,def_type2,gen1_multiplier,modern_multiplier
i0091,single,grass,108,lickitung,normal,,1,1
i0092,single,water,148,dragonair,dragon,,1/2,1/2
i0093,dual,fire,16,pidgey,normal,flying,1,1
i0094,immune,ghost,40,wigglytuff,normal,,0,0
i0095,immune,electric,74,geodude,rock,ground,0,0
i0096,quad,fighting,123,scyther,bug,flying,1/4,1/4
i0097,differs,ghost,150,mewtwo,psychic,,0,2
i0098,differs,poison,13,weedle,bug,poison,1,1/2
i0099,immune,electric,104,cubone,ground,,0,0
i0100,single,water,55,golduck,water,,1/2,1/2
i0101,dual,poison,17,pidgeotto,normal,flying,1,1
i0102,dual,poison,16,pidgey,normal,flying,1,1
i0103,dual,flying,18,pidgeot,normal,flying,1,1
i0104,quad,grass,76,golem,rock,ground,4,4
i0105,dual,ghost,45,vileplume,grass,poison,1,1
i0106,differs,bug,2,ivysaur,grass,poison,4,1
i0107,dual,ice,80,slowbro,water,psychic,1/2,1/2
i0108,dual,normal,22,fearow,normal,flying,1,1
i0109,immune,ground,149,dragonite,dragon,flying,0,0
i0110,differs,ghost,121,starmie,water,psychic,0,2
i0111,dual,ghost,72,tentacool,water,poison,1,1
i0112,dual,bug,74,geodude,rock,ground,1,1
i0113,differs,bug,89,muk,poison,,2,1/2
i0114,immune,ground,22,fearow,normal,flying,0,0
i0115,dual,fire,73,tentacruel,water,poison,1/2,1/2
i0116,dual,bug,123,scyther,bug,flying,1/2,1/2
i0117,immune,ground,123,scyther,bug,flying,0,0
i0118,differs,ice,58,growlithe,fire,,1,1/2
i0119,quad,rock,146,moltres,fire,flying,4,4
i0120,immune,ghost,16,pidgey,normal,flying,0,0
i0121,single,dragon,97,hypno,psychic,,1,1
i0122,single,flying,106,hitmonlee,fighting,,2,2
i0123,dual,ghost,70,weepinbell,grass,poison,1,1
i0124,dual,psychic,6,charizard,fire,flying,1,1
i0125,quad,grass,112,rhydon,ground,rock,4,4
i0126,differs,bug,44,gloom,grass,poison,4,1
i0127,single,grass,7,squirtle,water,,2,2
i0128,differs,poison,46,paras,bug,grass,4,2
i0129,dual,fighting,141,kabutops,rock,water,2,2
i0130,quad,water,95,onix,rock,ground,4,4
i0131,differs,poison,123,scyther,bug,flying,2,1
i0132,differs,poison,127,pinsir,bug,,2,1
i0133,dual,normal,71,victreebel,grass,poison,1,1
i0134,single,flying,38,ninetales,fire,,1,1
i0135,immune,normal,92,gastly,ghost,poison,0,0
i0136,quad,fire,138,omanyte,rock,water,1/4,1/4
i0137,dual,poison,79,slowpoke,water,psychic,1,1
i0138,single,fighting,11,metapod,bug,,1/2,1/2
i0139,immune,ground,144,articuno,ice,flying,0,0
i0140,dual,fire,13,weedle,bug,poison,2,2
i0141,differs,ghost,79,slowpoke,water,psychic,0,2
i0142,single,rock,89,muk,poison,,1,1
i0143,single,rock,28,sandslash,ground,,1/2,1/2
i0144,quad,grass,15,beedrill,bug,poison,1/4,1/4
i0145,dual,fire,111,rhyhorn,ground,rock,1/2,1/2
i0146,dual,rock,75,graveler,rock,ground,1/2,1/2
i0147,single,electric,88,grimer,poison,,1,1
i0148,single,grass,8,wartortle,water,,2,2
i0149,immune,ground,41,zubat,poison,flying,0,0
i0150,single,normal,4,charmander,fire,,1,1
i0151,dual,psychic,74,geodude,rock,ground,1,1
i0152,differs,bug,43,oddish,grass,poison,4,1
i0153,dual,dragon,44,gloom,grass,poison,1,1
i0154,single,normal,148,dragonair,dragon,,1,1
i0155,differs,ghost,80,slowbro,water,psychic,0,2
i0156,immune,ground,16,pidgey,normal,flying,0,0
i0157,quad,poison,95,onix,rock,ground,1/4,1/4
i0158,differs,bug,41,zubat,poison,flying,1,1/4
i0159,immune,ground,130,gyarados,water,flying,0,0
i0160,dual,fire,146,moltres,fire,flying,1/2,1/2
i0161,quad,grass,140,kabuto,rock,water,4,4
i0162,dual,normal,123,scyther,bug,flying,1,1
i0163,dual,ghost,112,rhydon,ground,rock,1,1
i0164,dual,dragon,124,jynx,ice,psychic,1,1
i0165,dual,dragon,22,fearow,normal,flying,1,1
i0166,quad,ice,91,cloyster,water,ice,1/4,1/4
i0167,differs,bug,34,nidoking,poison,ground,2,1/2
i0168,differs,bug,1,bulbasaur,grass,poison,4,1
i0169,single,ground,98,krabby,water,,1,1
i0170,dual,water,79,slowpoke,water,psychic,1/2,1/2
i0171,immune,ghost,133,eevee,normal,,0,0
i0172,quad,fighting,42,golbat,poison,flying,1/4,1/4
i0173,single,water,88,grimer,poison,,1,1
i0174,immune,ground,18,pidgeot,normal,flying,0,0
i0175,immune,ghost,132,ditto,normal,,0,0
i0176,dual,fighting,6,charizard,fire,flying,1/2,1/2
i0177,single,ice,25,pikachu,electric,,1,1
i0178,dual,ice,41,zubat,poison,flying,2,2
i0179,single,normal,133,eevee,normal,,1,1
i0180,quad,bug,103,exeggutor,grass,psychic,4,4
i0181,single,psychic,104,cubone,ground,,1,1
i0182,single,poison,109,koffing,poison,,1/2,1/2
i0183,single,ghost,126,magmar,fire,,1,1
i0184,differs,poison,49,venomoth,bug,poison,1,1/2
i0185,single,fire,82,magneton,electric,,1,1
i0186,single,poison,104,cubone,ground,,1/2,1/2
i0187,dual,dragon,145,zapdos,electric,flying,1,1
i0188,immune,ghost,143,snorlax,normal,,0,0
i0189,differs,ice,6,charizard,fire,flying,2,1
i0190,single,dragon,101,electrode,electric,,1,1
i0191,dual,water,84,doduo,normal,flying,1,1
i0192,single,normal,55,golduck,water,,1,1
i0193,differs,bug,13,weedle,bug,poison,2,1/2
i0194,dual,dragon,31,nidoqueen,poison,ground,1,1
i0195,single,dragon,29,nidoran-f,poison,,1,1
i0196,immune,ghost,137,porygon,normal,,0,0
i0197,dual,poison,87,dewgong,water,ice,1,1
i0198,differs,ice,78,rapidash,fire,,1,1/2
i0199,quad,water,76,golem,rock,ground,4,4
i0200,differs,bug,14,kakuna,bug,poison,2,1/2
i0201,single,poison,9,blastoise,water,,1,1
i0202,differs,ice,59,arcanine,fire,,1,1/2
i0203,quad,grass,49,venomoth,bug,poison,1/4,1/4
i0204,single,fighting,135,jolteon,electric,,1,1
i0205,single,psychic,100,voltorb,electric,,1,1
i0206,differs,ghost,64,kadabra,psychic,,0,2
i0207,dual,psychic,15,beedrill,bug,poison,2,2
i0208,differs,poison,10,caterpie,bug,,2,1
i0209,single,ground,143,snorlax,normal,,1,1
i0210,differs,poison,15,beedrill,bug,poison,1,1/2
i0211,dual,normal,49,venomoth,bug,poison,1,1
i0212,single,electric,30,nidorina,poison,,1,1
i0213,single,grass,113,chansey,normal,,1,1
i0214,quad,grass,139,omastar,rock,water,4,4
i0215,immune,fighting,93,haunter,ghost,poison,0,0
i0216,single,electric,61,poliwhirl,water,,2,2
i0217,dual,flying,21,spearow,normal,flying,1,1
i0218,quad,grass,70,weepinbell,grass,poison,1/4,1/4
i0219,dual,ground,69,bellsprout,grass,poison,1,1
i0220,single,ghost,58,growlithe,fire,,1,1
i0221,single,rock,88,grimer,poison,,1,1
i0222,quad,water,75,graveler,rock,ground,4,4
i0223,dual,electric,123,scyther,bug,flying,2,2
i0224,differs,ghost,102,exeggcute,grass,psychic,0,2
i0225,dual,dragon,80,slowbro,water,psychic,1,1
i0226,immune,ground,85,dodrio,normal,flying,0,0
i0227,dual,water,31,nidoqueen,poison,ground,2,2
i0228,single,electric,128,tauros,normal,,1,1
i0229,dual,fighting,46,paras,bug,grass,1/2,1/2
i0230,single,ice,7,squirtle,water,,1/2,1/2
i0231,quad,poison,94,gengar,ghost,poison,1/4,1/4
i0232,single,normal,54,psyduck,water,,1,1
i0233,single,fighting,9,blastoise,water,,1,1
i0234,single,fire,60,poliwag,water,,1/2,1/2
i0235,differs,bug,32,nidoran-m,poison,,2,1/2
i0236,quad,poison,112,rhydon,ground,rock,1/4,1/4
i0237,differs,poison,48,venonat,bug,poison,1,1/2
i0238,quad,rock,6,charizard,fire,flying,4,4
i0239,quad,poison,31,nidoqueen,poison,ground,1/4,1/4
i0240,dual,ice,3,venusaur,grass,poison,2,2
i0241,immune,electric,31,nidoqueen,poison,ground,0,0
i0242,quad,grass,138,omanyte,rock,water,4,4
i0243,immune,ghost,83,farfetchd,normal,flying,0,0
i0244,immune,electric,76,golem,rock,ground,0,0
i0245,quad,poison,92,gastly,ghost,poison,1/4,1/4
i0246,dual,psychic,2,ivysaur,grass,poison,2,2
i0247,differs,bug,88,grimer,poison,,2,1/2
i0248,dual,bug,149,dragonite,dragon,flying,1/2,1/2
i0249,differs,bug,93,haunter,ghost,poison,1,1/4
i0250,single,dragon,132,ditto,normal,,1,1
i0251,immune,ground,145,zapdos,electric,flying,0,0
i0252,immune,normal,93,haunter,ghost,poison,0,0
i0253,single,water,25,pikachu,electric,,1,1
i0254,dual,psychic,69,bellsprout,grass,poison,2,2
i0255,differs,poison,47,parasect,bug,grass,4,2
i0256,single,normal,11,metapod,bug,,1,1
i0257,dual,poison,69,bellsprout,grass,poison,1,1
i0258,single,ground,36,clefable,normal,,1,1
i0259,immune,electric,111,rhyhorn,ground,rock,0,0
i0260,dual,grass,80,slowbro,water,psychic,2,2
i0261,differs,bug,29,nidoran-f,poison,,2,1/2
i0262,single,grass,106,hitmonlee,fighting,,1,1
i0263,single,fighting,67,machoke,fighting,,1,1
i0264,dual,ice,144,articuno,ice,flying,1,1
i0265,single,bug,90,shellder,water,,1,1
i0266,dual,ice,17,pidgeotto,normal,flying,2,2
i0267,single,dragon,77,ponyta,fire,,1,1
i0268,single,fire,128,tauros,normal,,1,1
i0269,dual,normal,31,nidoqueen,poison,ground,1,1
i0270,dual,dragon,131,lapras,water,ice,1,1
i0271,single,poison,20,raticate,normal,,1,1
i0272,quad,poison,34,nidoking,poison,ground,1/4,1/4
i0273,quad,grass,6,charizard,fire,flying,1/4,1/4
i0274,dual,normal,91,cloyster,water,ice,1,1
i0275,single,water,106,hitmonlee,fighting,,1,1
i0276,single,water,143,snorlax,normal,,1,1
i0277,dual,flying,140,kabuto,rock,water,1/2,1/2
i0278,single,poison,25,pikachu,electric,,1,1
i0279,single,flying,52,meowth,normal,,1,1
i0280,dual,ground,70,weepinbell,grass,poison,1,1
i0281,quad,water,74,geodude,rock,ground,4,4
i0282,dual,rock,42,golbat,poison,flying,2,2
i0283,dual,psychic,62,poliwrath,water,fighting,2,2
i0284,single,dragon,40,wigglytuff,normal,,1,1
i0285,dual,normal,42,golbat,poison,flying,1,1
i0286,immune,ghost,17,pidgeotto,normal,flying,0,0
i0287,dual,electric,70,weepinbell,grass,poison,1/2,1/2
i0288,dual,flying,124,jynx,ice,psychic,1,1
i0289,single,ground,117,seadra,water,,1,1
i0290,dual,ghost,14,kakuna,bug,poison,1,1
i0291,dual,ground,44,gloom,grass,poison,1,1
i0292,dual,ice,73,tentacruel,water,poison,1/2,1/2
i0293,dual,flying,31,nidoqueen,poison,ground,1,1
i0294,single,poison,126,magmar,fire,,1,1
i0295,differs,ghost,103,exeggutor,grass,psychic,0,2
i0296,immune,electric,75,graveler,rock,ground,0,0
i0297,immune,ground,83,farfetchd,normal,flying,0,0
i0298,single,rock,137,porygon,normal,,1,1
i0299,single,grass,148,dragonair,dragon,,1/2,1/2
i0300,quad,bug,102,exeggcute,grass,psychic,4,4
i0301,dual,psychic,145,zapdos,electric,flying,1,1
i0302,single,ghost,66,machop,fighting,,1,1
i0303,differs,ice,5,charmeleon,fire,,1,1/2
i0304,immune,ground,21,spearow,normal,flying,0,0
i0305,dual,poison,85,dodrio,normal,flying,1,1
i0306,dual,poison,140,kabuto,rock,water,1/2,1/2
i0307,differs,bug,3,venusaur,grass,poison,4,1
i0308,differs,bug,49,venomoth,bug,poison,2,1/2
i0309,single,ghost,25,pikachu,electric,,1,1
i0310,dual,electric,2,ivysaur,grass,poison,1/2,1/2
i0311,immune,ghost,113,chansey,normal,,0,0
i0312,dual,ground,62,poliwrath,water,fighting,1,1
i0313,single,ice,67,machoke,fighting,,1,1
i0314,single,fire,23,ekans,poison,,1,1
i0315,quad,grass,111,rhyhorn,ground,rock,4,4
i0316,immune,ghost,85,dodrio,normal,flying,0,0
i0317,single,bug,81,magnemite,electric,,1,1
i0318,differs,bug,94,gengar,ghost,poison,1,1/4
i0319,dual,fighting,16,pidgey,normal,flying,1,1
i0320,immune,ground,42,golbat,poison,flying,0,0
i0321,dual,fighting,73,tentacruel,water,poison,1/2,1/2
i0322,dual,fire,103,exeggutor,grass,psychic,2,2
i0323,dual,flying,44,gloom,grass,poison,2,2
i0324,single,fighting,129,magikarp,water,,1,1
i0325,dual,normal,95,onix,rock,ground,1/2,1/2
i0326,dual,water,12,butterfree,bug,flying,1,1
i0327,dual,water,141,kabutops,rock,water,1,1
i0328,single,water,105,marowak,ground,,2,2
i0329,single,ice,60,poliwag,water,,1/2,1/2
i0330,dual,fighting,79,slowpoke,water,psychic,1/2,1/2
i0331,differs,bug,48,venonat,bug,poison,2,1/2
i0332,immune,ghost,115,kangaskhan,normal,,0,0
i0333,immune,electric,34,nidoking,poison,ground,0,0
i0334,differs,bug,109,koffing,poison,,2,1/2
i0335,differs,bug,69,bellsprout,grass,poison,4,1
i0336,differs,bug,110,weezing,poison,,2,1/2
i0337,single,ice,104,cubone,ground,,2,2
i0338,single,dragon,96,drowzee,psychic,,1,1
i0339,dual,electric,144,articuno,ice,flying,2,2
i0340,single,ground,66,machop,fighting,,1,1
i0341,immune,ghost,53,persian,normal,,0,0
i0342,immune,ghost,22,fearow,normal,flying,0,0
i0343,dual,ice,124,jynx,ice,psychic,1/2,1/2
i0344,single,normal,9,blastoise,water,,1,1
i0345,differs,bug,24,arbok,poison,,2,1/2
i0346,dual,flying,94,gengar,ghost,poison,1,1
i0347,dual,fighting,44,gloom,grass,poison,1/2,1/2
i0348,differs,ice,4,charmander,fire,,1,1/2
i0349,dual,water,121,starmie,water,psychic,1/2,1/2
i0350,differs,ice,38,ninetales,fire,,1,1/2
i0351,dual,fighting,75,graveler,rock,ground,2,2
i0352,single,normal,64,kadabra,psychic,,1,1
i0353,dual,poison,124,jynx,ice,psychic,1,1
i0354,dual,ground,14,kakuna,bug,poison,1,1
i0355,dual,water,85,dodrio,normal,flying,1,1
i0356,differs,ghost,96,drowzee,psychic,,0,2
i0357,differs,ghost,122,mr-mime,psychic,,0,2
i0358,dual,ghost,123,scyther,bug,flying,1,1
i0359,quad,fire,140,kabuto,rock,water,1/4,1/4
i0360,quad,grass,123,scyther,bug,flying,1/4,1/4
i0361,dual,ground,138,omanyte,rock,water,2,2
i0362,quad,grass,48,venonat,bug,poison,1/4,1/4
i0363,differs,bug,72,tentacool,water,poison,2,1/2
i0364,dual,ice,83,farfetchd,normal,flying,2,2
i0365,single,grass,64,kadabra,psychic,,1,1
i0366,quad,grass,43,oddish,grass,poison,1/4,1/4
i0367,differs,bug,33,nidorino,poison,,2,1/2
i0368,quad,electric,130,gyarados,water,flying,4,4
i0369,dual,flying,43,oddish,grass,poison,2,2
i0370,differs,ghost,151,mew,psychic,,0,2
i0371,quad,grass,14,kakuna,bug,poison,1/4,1/4
i0372,differs,ice,77,ponyta,fire,,1,1/2
i0373,dual,electric,17,pidgeotto,normal,flying,2,2
i0374,dual,psychic,41,zubat,poison,flying,2,2
i0375,dual,ground,102,exeggcute,grass,psychic,1/2,1/2
i0376,quad,fire,47,parasect,bug,grass,4,4
i0377,dual,water,46,paras,bug,grass,1/2,1/2
i0378,immune,normal,94,gengar,ghost,poison,0,0
i0379,immune,ghost,21,spearow,normal,flying,0,0
i0380,single,normal,137,porygon,normal,,1,1
i0381,differs,bug,30,nidorina,poison,,2,1/2
i0382,differs,bug,23,ekans,poison,,2,1/2
i0383,single,fighting,128,tauros,normal,,2,2
i0384,dual,flying,111,rhyhorn,ground,rock,1/2,1/2
i0385,differs,ghost,65,alakazam,psychic,,0,2
i0386,single,flying,114,tangela,grass,,2,2
i0387,dual,fire,91,cloyster,water,ice,1,1
i0388,dual,flying,70,weepinbell,grass,poison,2,2
i0389,dual,fighting,95,onix,rock,ground,2,2
i0390,quad,grass,69,bellsprout,grass,poison,1/4,1/4
i0391,immune,ground,84,doduo,normal,flying,0,0
i0392,differs,ice,146,moltres,fire,flying,2,1
i0393,differs,poison,14,kakuna,bug,poison,1,1/2
i0394,quad,ice,87,dewgong,water,ice,1/4,1/4
i0395,dual,dragon,70,weepinbell,grass,poison,1,1
i0396,dual,grass,16,pidgey,normal,flying,1/2,1/2
i0397,immune,ghost,52,meowth,normal,,0,0
i0398,immune,ground,6,charizard,fire,flying,0,0
i0399,dual,poison,145,zapdos,electric,flying,1,1
