item_id,stratum,attack_type,pokemon_id,pokemon,def_type1,def_type2,gen1_multiplier,modern_multiplier
i0044,single,fire,50,diglett,ground,,1,1
i0045,immune,ground,146,moltres,fire,flying,0,0
i0046,quad,fire,46,paras,bug,grass,4,4
i0047,dual,fighting,112,rhydon,ground,rock,2,2
i0048,dual,electric,21,spearow,normal,flying,2,2
i0049,dual,fire,41,zubat,poison,flying,1,1
i0050,immune,ghost,108,lickitung,normal,,0,0
i0051,dual,poison,21,spearow,normal,flying,1,1
i0052,quad,grass,44,gloom,grass,poison,1/4,1/4
i0053,dual,fighting,2,ivysaur,grass,poison,1/2,1/2
i0054,dual,poison,3,venusaur,grass,poison,1,1
i0055,quad,water,111,rhyhorn,ground,rock,4,4
i0056,quad,water,112,rhydon,ground,rock,4,4
i0057,immune,electric,50,diglett,ground,,0,0
i0058,dual,bug,139,omastar,rock,water,1,1
i0059,dual,dragon,42,golbat,poison,flying,1,1
i0060,single,psychic,143,snorlax,normal,,1,1
i0061,single,bug,68,machamp,fighting,,1/2,1/2
i0062,dual,grass,73,tentacruel,water,poison,1,1
i0063,single,dragon,90,shellder,water,,1,1
i0064,single,poison,28,sandslash,ground,,1/2,1/2
i0065,dual,bug,21,spearow,normal,flying,1/2,1/2
i0066,dual,ghost,3,venusaur,grass,poison,1,1
i0067,single,bug,113,chansey,normal,,1,1
i0068,dual,fire,17,pidgeotto,normal,flying,1,1
i0069,single,rock,39,jigglypuff,normal,,1,1
i0070,dual,flying,2,ivysaur,grass,poison,2,2
i0071,immune,ghost,20,raticate,normal,,0,0
i0072,dual,grass,144,articuno,ice,flying,1/2,1/2
i0073,single,ice,107,hitmonchan,fighting,,1,1
i0074,single,ice,100,voltorb,electric,,1,1
i0075,single,water,82,magneton,electric,,1,1
i0076,single,psychic,96,drowzee,psychic,,1/2,1/2
i0077,single,water,78,rapidash,fire,,2,2
i0078,dual,bug,76,golem,rock,ground,1,1
i0079,dual,flying,13,weedle,bug,poison,2,2
i0080,quad,flying,46,paras,bug,grass,4,4
i0081,quad,ice,149,dragonite,dragon,flying,4,4
i0082,single,grass,150,mewtwo,psychic,,1,1
i0083,immune,electric,27,sandshrew,ground,,0,0
i0084,dual,rock,62,poliwrath,water,fighting,1/2,1/2
i0085,immune,ghost,128,tauros,normal,,0,0
i0086,dual,rock,2,ivysaur,grass,poison,1,1
i0087,immune,electric,105,marowak,ground,,0,0
i0088,single,normal,106,hitmonlee,fighting,,1,1
i0089,single,flying,127,pinsir,bug,,2,2
i0090,single,grass,68,machamp,fighting,,1,1
i0091,dual,water,103,exeggutor,grass,psychic,1/2,1/2
i0092,quad,ground,47,parasect,bug,grass,1/4,1/4
i0093,dual,psychic,149,dragonite,dragon,flying,1,1
i0094,dual,flying,85,dodrio,normal,flying,1,1
i0095,dual,ghost,44,gloom,grass,poison,1,1
i0096,dual,grass,21,spearow,normal,flying,1/2,1/2
i0097,quad,fighting,15,beedrill,bug,poison,1/4,1/4
i0098,dual,ghost,48,venonat,bug,poison,1,1
i0099,single,fighting,99,kingler,water,,1,1
i0100,dual,rock,69,bellsprout,grass,poison,1,1
i0101,dual,normal,111,rhyhorn,ground,rock,1/2,1/2
i0102,quad,grass,74,geodude,rock,ground,4,4
i0103,dual,electric,49,venomoth,bug,poison,1,1
i0104,dual,flying,146,moltres,fire,flying,1,1
i0105,dual,ground,92,gastly,ghost,poison,2,2
i0106,single,ground,100,voltorb,electric,,2,2
i0107,dual,fighting,71,victreebel,grass,poison,1/2,1/2
i0108,dual,ground,43,oddish,grass,poison,1,1
i0109,dual,poison,2,ivysaur,grass,poison,1,1
i0110,dual,bug,62,poliwrath,water,fighting,1/2,1/2
i0111,dual,ghost,74,geodude,rock,ground,1,1
i0112,single,ghost,55,golduck,water,,1,1
i0113,dual,fighting,111,rhyhorn,ground,rock,2,2
i0114,dual,fighting,87,dewgong,water,ice,2,2
i0115,dual,poison,45,vileplume,grass,poison,1,1
i0116,dual,bug,12,butterfree,bug,flying,1/2,1/2
i0117,single,electric,54,psyduck,water,,2,2
i0118,single,fire,40,wigglytuff,normal,,1,1
i0119,dual,bug,144,articuno,ice,flying,1/2,1/2
i0120,dual,psychic,45,vileplume,grass,poison,2,2
i0121,dual,poison,141,kabutops,rock,water,1/2,1/2
i0122,dual,grass,124,jynx,ice,psychic,1,1
i0123,dual,ghost,13,weedle,bug,poison,1,1
i0124,dual,electric,62,poliwrath,water,fighting,2,2
i0125,dual,ice,46,paras,bug,grass,2,2
i0126,dual,psychic,18,pidgeot,normal,flying,1,1
i0127,dual,dragon,71,victreebel,grass,poison,1,1
i0128,dual,psychic,3,venusaur,grass,poison,2,2
i0129,single,ground,125,electabuzz,electric,,2,2
i0130,dual,flying,131,lapras,water,ice,1,1
i0131,dual,dragon,111,rhyhorn,ground,rock,1,1
i0132,quad,fighting,48,venonat,bug,poison,1/4,1/4
i0133,dual,dragon,6,charizard,fire,flying,1,1
i0134,dual,rock,31,nidoqueen,poison,ground,1/2,1/2
i0135,quad,grass,13,weedle,bug,poison,1/4,1/4
i0136,dual,grass,145,zapdos,electric,flying,1/2,1/2
i0137,dual,ghost,144,articuno,ice,flying,1,1
i0138,dual,ground,111,rhyhorn,ground,rock,2,2
i0139,single,ground,56,mankey,fighting,,1,1
i0140,dual,fire,62,poliwrath,water,fighting,1/2,1/2
i0141,dual,electric,94,gengar,ghost,poison,1,1
i0142,single,rock,37,vulpix,fire,,2,2
i0143,dual,psychic,1,bulbasaur,grass,poison,2,2
i0144,single,poison,135,jolteon,electric,,1,1
i0145,single,bug,67,machoke,fighting,,1/2,1/2
i0146,dual,fire,69,bellsprout,grass,poison,2,2
i0147,dual,flying,22,fearow,normal,flying,1,1
i0148,quad,grass,12,butterfree,bug,flying,1/4,1/4
i0149,dual,psychic,102,exeggcute,grass,psychic,1/2,1/2
i0150,dual,fighting,121,starmie,water,psychic,1/2,1/2
i0151,dual,rock,1,bulbasaur,grass,poison,1,1
i0152,dual,grass,130,gyarados,water,flying,1,1
i0153,dual,rock,47,parasect,bug,grass,2,2
i0154,dual,water,17,pidgeotto,normal,flying,1,1
i0155,single,dragon,129,magikarp,water,,1,1
i0156,dual,normal,41,zubat,poison,flying,1,1
i0157,single,water,51,dugtrio,ground,,2,2
i0158,dual,normal,2,ivysaur,grass,poison,1,1
i0159,dual,normal,21,spearow,normal,flying,1,1
i0160,single,normal,23,ekans,poison,,1,1
i0161,single,normal,63,abra,psychic,,1,1
i0162,single,fire,127,pinsir,bug,,2,2
i0163,dual,dragon,73,tentacruel,water,poison,1,1
i0164,dual,rock,138,omanyte,rock,water,1,1
i0165,single,fighting,20,raticate,normal,,2,2
i0166,dual,bug,85,dodrio,normal,flying,1/2,1/2
i0167,single,ground,11,metapod,bug,,1/2,1/2
i0168,single,ground,109,koffing,poison,,2,2
i0169,single,electric,52,meowth,normal,,1,1
i0170,dual,fighting,17,pidgeotto,normal,flying,1,1
i0171,single,dragon,25,pikachu,electric,,1,1
i0172,single,ghost,135,jolteon,electric,,1,1
i0173,single,rock,57,primeape,fighting,,1/2,1/2
i0174,dual,normal,69,bellsprout,grass,poison,1,1
i0175,dual,bug,83,farfetchd,normal,flying,1/2,1/2
i0176,single,normal,97,hypno,psychic,,1,1
i0177,single,poison,82,magneton,electric,,1,1
i0178,dual,water,149,dragonite,dragon,flying,1/2,1/2
i0179,quad,ice,131,lapras,water,ice,1/4,1/4
i0180,dual,water,43,oddish,grass,poison,1/2,1/2
i0181,dual,ice,22,fearow,normal,flying,2,2
i0182,dual,dragon,102,exeggcute,grass,psychic,1,1
i0183,dual,psychic,95,onix,rock,ground,1,1
i0184,dual,poison,80,slowbro,water,psychic,1,1
i0185,dual,fire,34,nidoking,poison,ground,1,1
i0186,dual,electric,93,haunter,ghost,poison,1,1
i0187,dual,flying,34,nidoking,poison,ground,1,1
i0188,single,flying,8,wartortle,water,,1,1
i0189,dual,bug,79,slowpoke,water,psychic,2,2
i0190,dual,poison,103,exeggutor,grass,psychic,2,2
i0191,single,ice,10,caterpie,bug,,1,1
i0192,single,water,10,caterpie,bug,,1,1
i0193,dual,psychic,92,gastly,ghost,poison,2,2
i0194,single,ghost,59,arcanine,fire,,1,1
i0195,dual,grass,142,aerodactyl,rock,flying,1,1
i0196,dual,electric,103,exeggutor,grass,psychic,1/2,1/2
i0197,quad,grass,2,ivysaur,grass,poison,1/4,1/4
i0198,dual,ice,142,aerodactyl,rock,flying,2,2
i0199,dual,dragon,17,pidgeotto,normal,flying,1,1
i0200,dual,flying,112,rhydon,ground,rock,1/2,1/2
i0201,dual,flying,141,kabutops,rock,water,1/2,1/2
i0202,dual,rock,13,weedle,bug,poison,2,2
i0203,dual,water,21,spearow,normal,flying,1,1
i0204,dual,poison,91,cloyster,water,ice,1,1
i0205,dual,normal,12,butterfree,bug,flying,1,1
i0206,dual,normal,146,moltres,fire,flying,1,1
i0207,single,fighting,115,kangaskhan,normal,,2,2
i0208,dual,water,3,venusaur,grass,poison,1/2,1/2
i0209,dual,flying,123,scyther,bug,flying,2,2
i0210,dual,dragon,112,rhydon,ground,rock,1,1
i0211,dual,electric,46,paras,bug,grass,1/2,1/2
i0212,single,electric,82,magneton,electric,,1/2,1/2
i0213,dual,ground,15,beedrill,bug,poison,1,1
i0214,single,flying,115,kangaskhan,normal,,1,1
i0215,single,normal,61,poliwhirl,water,,1,1
i0216,dual,fire,80,slowbro,water,psychic,1/2,1/2
i0217,quad,grass,71,victreebel,grass,poison,1/4,1/4
i0218,dual,rock,142,aerodactyl,rock,flying,2,2
i0219,single,grass,82,magneton,electric,,1,1
i0220,dual,psychic,76,golem,rock,ground,1,1
i0221,dual,ghost,149,dragonite,dragon,flying,1,1
i0222,single,fire,97,hypno,psychic,,1,1
i0223,dual,ice,16,pidgey,normal,flying,2,2
i0224,dual,dragon,149,dragonite,dragon,flying,2,2
i0225,dual,electric,140,kabuto,rock,water,2,2
i0226,dual,fighting,34,nidoking,poison,ground,1/2,1/2
i0227,single,ghost,105,marowak,ground,,1,1
i0228,dual,ghost,139,omastar,rock,water,1,1
i0229,dual,psychic,111,rhyhorn,ground,rock,1,1
i0230,dual,psychic,91,cloyster,water,ice,1,1
i0231,dual,dragon,79,slowpoke,water,psychic,1,1
i0232,dual,grass,131,lapras,water,ice,2,2
i0233,dual,poison,18,pidgeot,normal,flying,1,1
i0234,dual,flying,72,tentacool,water,poison,1,1
i0235,single,psychic,125,electabuzz,electric,,1,1
i0236,dual,ground,139,omastar,rock,water,2,2
i0237,single,ice,35,clefairy,normal,,1,1
i0238,dual,flying,14,kakuna,bug,poison,2,2
i0239,dual,electric,141,kabutops,rock,water,2,2
i0240,single,grass,105,marowak,ground,,2,2
i0241,dual,ghost,62,poliwrath,water,fighting,1,1
i0242,dual,normal,141,kabutops,rock,water,1/2,1/2
i0243,dual,fire,45,vileplume,grass,poison,2,2
i0244,dual,ice,72,tentacool,water,poison,1/2,1/2
i0245,dual,fighting,18,pidgeot,normal,flying,1,1
i0246,single,psychic,98,krabby,water,,1,1
i0247,single,electric,4,charmander,fire,,1,1
i0248,quad,grass,41,zubat,poison,flying,1/4,1/4
i0249,single,bug,9,blastoise,water,,1,1
i0250,dual,rock,74,geodude,rock,ground,1/2,1/2
i0251,single,dragon,67,machoke,fighting,,1,1
i0252,dual,flying,49,venomoth,bug,poison,2,2
i0253,dual,fighting,149,dragonite,dragon,flying,1/2,1/2
i0254,dual,water,87,dewgong,water,ice,1/2,1/2
i0255,single,grass,88,grimer,poison,,1/2,1/2
i0256,dual,ice,79,slowpoke,water,psychic,1/2,1/2
i0257,dual,water,70,weepinbell,grass,poison,1/2,1/2
i0258,dual,ghost,92,gastly,ghost,poison,2,2
i0259,dual,normal,3,venusaur,grass,poison,1,1
i0260,single,psychic,36,clefable,normal,,1,1
i0261,single,fighting,36,clefable,normal,,2,2
i0262,dual,ghost,75,graveler,rock,ground,1,1
i0263,single,fighting,58,growlithe,fire,,1,1
i0264,single,ground,105,marowak,ground,,1,1
i0265,dual,bug,141,kabutops,rock,water,1,1
i0266,single,water,19,rattata,normal,,1,1
i0267,dual,grass,83,farfetchd,normal,flying,1/2,1/2
i0268,single,psychic,64,kadabra,psychic,,1/2,1/2
i0269,dual,dragon,72,tentacool,water,poison,1,1
i0270,single,fire,96,drowzee,psychic,,1,1
i0271,single,grass,133,eevee,normal,,1,1
i0272,dual,fire,3,venusaur,grass,poison,2,2
i0273,quad,rock,123,scyther,bug,flying,4,4
i0274,quad,grass,47,parasect,bug,grass,1/4,1/4
i0275,dual,fire,79,slowpoke,water,psychic,1/2,1/2
i0276,dual,ground,91,cloyster,water,ice,1,1
i0277,quad,grass,141,kabutops,rock,water,4,4
i0278,single,psychic,54,psyduck,water,,1,1
i0279,dual,rock,84,doduo,normal,flying,2,2
i0280,single,poison,35,clefairy,normal,,1,1
i0281,dual,flying,6,charizard,fire,flying,1,1
i0282,single,grass,119,seaking,water,,2,2
i0283,dual,normal,16,pidgey,normal,flying,1,1
i0284,single,dragon,65,alakazam,psychic,,1,1
i0285,dual,poison,62,poliwrath,water,fighting,1,1
i0286,dual,ground,73,tentacruel,water,poison,2,2
i0287,single,ice,50,diglett,ground,,2,2
i0288,quad,grass,3,venusaur,grass,poison,1/4,1/4
i0289,dual,ground,45,vileplume,grass,poison,1,1
i0290,single,fighting,24,arbok,poison,,1/2,1/2
i0291,dual,electric,91,cloyster,water,ice,2,2
i0292,single,water,115,kangaskhan,normal,,1,1
i0293,single,flying,135,jolteon,electric,,1/2,1/2
i0294,dual,water,130,gyarados,water,flying,1/2,1/2
i0295,dual,ghost,47,parasect,bug,grass,1,1
i0296,single,ice,11,metapod,bug,,1,1
i0297,dual,ground,72,tentacool,water,poison,2,2
i0298,dual,ground,76,golem,rock,ground,2,2
i0299,single,ice,68,machamp,fighting,,1,1
i0300,single,poison,58,growlithe,fire,,1,1
i0301,quad,grass,42,golbat,poison,flying,1/4,1/4
i0302,single,bug,65,alakazam,psychic,,2,2
i0303,single,bug,77,ponyta,fire,,1/2,1/2
i0304,dual,fighting,130,gyarados,water,flying,1/2,1/2
i0305,quad,rock,12,butterfree,bug,flying,4,4
i0306,dual,fire,92,gastly,ghost,poison,1,1
i0307,dual,normal,75,graveler,rock,ground,1/2,1/2
i0308,dual,bug,121,starmie,water,psychic,2,2
i0309,single,fire,57,primeape,fighting,,1,1
i0310,single,flying,32,nidoran-m,poison,,1,1
i0311,dual,water,44,gloom,grass,poison,1/2,1/2
i0312,single,ghost,4,charmander,fire,,1,1
i0313,dual,bug,131,lapras,water,ice,1,1
i0314,dual,flying,16,pidgey,normal,flying,1,1
i0315,single,ghost,23,ekans,poison,,1,1
i0316,dual,electric,85,dodrio,normal,flying,2,2
i0317,single,flying,10,caterpie,bug,,2,2
i0318,single,water,114,tangela,grass,,1/2,1/2
i0319,dual,ice,13,weedle,bug,poison,1,1
i0320,dual,grass,31,nidoqueen,poison,ground,1,1
i0321,dual,ghost,34,nidoking,poison,ground,1,1
i0322,dual,fighting,142,aerodactyl,rock,flying,1,1
i0323,dual,ground,95,onix,rock,ground,2,2
i0324,dual,grass,87,dewgong,water,ice,2,2
i0325,dual,grass,17,pidgeotto,normal,flying,1/2,1/2
i0326,dual,ice,103,exeggutor,grass,psychic,2,2
i0327,single,fighting,114,tangela,grass,,1,1
i0328,single,normal,53,persian,normal,,1,1
i0329,dual,psychic,12,butterfree,bug,flying,1,1
i0330,single,poison,7,squirtle,water,,1,1
i0331,dual,flying,69,bellsprout,grass,poison,2,2
i0332,dual,ice,76,golem,rock,ground,2,2
i0333,quad,grass,146,moltres,fire,flying,1/4,1/4
i0334,quad,bug,6,charizard,fire,flying,1/4,1/4
i0335,single,dragon,10,caterpie,bug,,1,1
i0336,dual,fighting,131,lapras,water,ice,2,2
i0337,dual,electric,14,kakuna,bug,poison,1,1
i0338,single,rock,136,flareon,fire,,2,2
i0339,dual,flying,12,butterfree,bug,flying,2,2
i0340,single,grass,50,diglett,ground,,2,2
i0341,dual,ground,79,slowpoke,water,psychic,1,1
i0342,single,ice,89,muk,poison,,1,1
i0343,dual,fighting,145,zapdos,electric,flying,1/2,1/2
i0344,dual,poison,144,articuno,ice,flying,1,1
i0345,dual,ice,95,onix,rock,ground,2,2
i0346,dual,normal,72,tentacool,water,poison,1,1
i0347,single,dragon,147,dratini,dragon,,2,2
i0348,dual,poison,84,doduo,normal,flying,1,1
i0349,dual,dragon,121,starmie,water,psychic,1,1
i0350,single,water,86,seel,water,,1/2,1/2
i0351,dual,dragon,49,venomoth,bug,poison,1,1
i0352,single,rock,50,diglett,ground,,1/2,1/2
i0353,quad,fighting,41,zubat,poison,flying,1/4,1/4
i0354,dual,fire,144,articuno,ice,flying,2,2
i0355,dual,electric,69,bellsprout,grass,poison,1/2,1/2
i0356,single,flying,60,poliwag,water,,1,1
i0357,dual,water,73,tentacruel,water,poison,1/2,1/2
i0358,dual,dragon,94,gengar,ghost,poison,1,1
i0359,dual,rock,49,venomoth,bug,poison,2,2
i0360,dual,grass,72,tentacool,water,poison,1,1
i0361,single,electric,101,electrode,electric,,1/2,1/2
i0362,dual,fighting,91,cloyster,water,ice,2,2
i0363,dual,electric,44,gloom,grass,poison,1/2,1/2
i0364,dual,ground,1,bulbasaur,grass,poison,1,1
i0365,dual,fighting,83,farfetchd,normal,flying,1,1
i0366,dual,ice,15,beedrill,bug,poison,1,1
i0367,dual,psychic,144,articuno,ice,flying,1,1
i0368,dual,bug,84,doduo,normal,flying,1/2,1/2
i0369,dual,water,91,cloyster,water,ice,1/2,1/2
i0370,dual,rock,48,venonat,bug,poison,2,2
i0371,quad,grass,149,dragonite,dragon,flying,1/4,1/4
i0372,single,rock,7,squirtle,water,,1,1
i0373,single,fire,151,mew,psychic,,1,1
i0374,dual,electric,139,omastar,rock,water,2,2
i0375,dual,ice,123,scyther,bug,flying,2,2
i0376,single,poison,86,seel,water,,1,1
i0377,quad,grass,46,paras,bug,grass,1/4,1/4
i0378,dual,flying,91,cloyster,water,ice,1,1
i0379,dual,ice,75,graveler,rock,ground,2,2
i0380,dual,rock,94,gengar,ghost,poison,1,1
i0381,dual,fire,85,dodrio,normal,flying,1,1
i0382,single,bug,129,magikarp,water,,1,1
i0383,single,bug,133,eevee,normal,,1,1
i0384,single,psychic,97,hypno,psychic,,1/2,1/2
i0385,dual,poison,121,starmie,water,psychic,1,1
i0386,dual,psychic,49,venomoth,bug,poison,2,2
i0387,dual,fire,145,zapdos,electric,flying,1,1
i0388,single,rock,10,caterpie,bug,,2,2
i0389,dual,ground,93,haunter,ghost,poison,2,2
i0390,dual,grass,92,gastly,ghost,poison,1/2,1/2
i0391,dual,water,45,vileplume,grass,poison,1/2,1/2
i0392,single,electric,38,ninetales,fire,,1,1
i0393,dual,rock,73,tentacruel,water,poison,1,1
i0394,dual,fire,31,nidoqueen,poison,ground,1,1
i0395,dual,psychic,130,gyarados,water,flying,1,1
i0396,single,normal,151,mew,psychic,,1,1
i0397,dual,poison,1,bulbasaur,grass,poison,1,1
i0398,dual,fire,112,rhydon,ground,rock,1/2,1/2
i0399,dual,psychic,22,fearow,normal,flying,1,1
